,dn,yard,a,n_yard,p
355,1,6,2,3,0.0
356,1,6,2,4,0.0
357,1,6,2,5,0.0
358,1,6,2,6,0.3517902299442277
359,1,6,2,7,0.06739645409637168
360,1,6,2,8,0.07016040294555637
361,1,6,2,9,0.07069446280828756
362,1,6,2,10,0.4399584502055567
363,1,6,3,0,0.0
364,1,6,3,1,0.0
365,1,6,3,2,0.0
366,1,6,3,3,0.0
367,1,6,3,4,0.0
368,1,6,3,5,0.0
369,1,6,3,6,0.3102666157746061
370,1,6,3,7,0.044944417940358805
371,1,6,3,8,0.04739139043607554
372,1,6,3,9,0.04913590832640141
373,1,6,3,10,0.5482616675225581
374,1,6,4,0,0.0
375,1,6,4,1,0.0
376,1,6,4,2,0.0
377,1,6,4,3,0.0
378,1,6,4,4,0.0
379,1,6,4,5,0.0
380,1,6,4,6,0.32386389743376975
381,1,6,4,7,0.03282383987337506
382,1,6,4,8,0.03420073526391787
383,1,6,4,9,0.03530361182325459
384,1,6,4,10,0.5738079156056828
385,1,7,0,0,0.0
386,1,7,0,1,0.0
387,1,7,0,2,0.0
388,1,7,0,3,0.0
389,1,7,0,4,0.0
390,1,7,0,5,0.0
391,1,7,0,6,0.0
392,1,7,0,7,0.5684326882055735
393,1,7,0,8,0.1264299021555001
394,1,7,0,9,0.10665084095786725
395,1,7,0,10,0.19848656868105918
396,1,7,1,0,0.0
397,1,7,1,1,0.0
398,1,7,1,2,0.0
399,1,7,1,3,0.0
400,1,7,1,4,0.0
401,1,7,1,5,0.0
402,1,7,1,6,0.0
403,1,7,1,7,0.533531856533724
404,1,7,1,8,0.09864621396866913
405,1,7,1,9,0.09069303875825818
406,1,7,1,10,0.27712889073934865
407,1,7,2,0,0.0
408,1,7,2,1,0.0
409,1,7,2,2,0.0
410,1,7,2,3,0.0
411,1,7,2,4,0.0
412,1,7,2,5,0.0
413,1,7,2,6,0.0
414,1,7,2,7,0.41133491620127566
415,1,7,2,8,0.0719924407864827
